Time,Signal
0.00,10.0000
0.50,9.0484
1.00,8.1873
1.50,7.4082
2.00,6.7032
2.50,6.0653
3.00,5.4881
3.50,4.9659
4.00,4.4933
4.50,4.0657
5.00,3.6788
5.50,3.3287
6.00,3.0119
6.50,2.7253
7.00,2.4660
7.50,2.2313
8.00,2.0190
8.50,1.8268
9.00,1.6530
9.50,1.4957
10.00,1.3534
10.50,1.2246
11.00,1.1080
11.50,1.0026
12.00,0.9072
12.50,0.8208
13.00,0.7427
13.50,0.6721
14.00,0.6081
14.50,0.5502
15.00,0.4979
15.50,0.4505
16.00,0.4076
16.50,0.3688
17.00,0.3337
17.50,0.3020
18.00,0.2732
18.50,0.2472
19.00,0.2237
19.50,0.2024
20.00,0.1832
20.50,0.1657
21.00,0.1500
21.50,0.1357
22.00,0.1228
22.50,0.1111
23.00,0.1005
23.50,0.0910
24.00,0.0823
24.50,0.0745
25.00,0.0674
