Time,Amplitude
0.00,0.1960
0.10,0.0485
0.20,0.3826
0.30,0.2714
0.40,0.3759
0.50,0.4392
0.60,0.3915
0.70,0.5117
0.80,0.9526
0.90,0.8531
1.00,0.7262
1.10,0.7728
1.20,1.0688
1.30,1.0789
1.40,0.9080
1.50,0.8075
1.60,0.9682
1.70,1.0488
1.80,0.7483
1.90,1.1680
2.00,0.7694
2.10,0.6402
2.20,0.8470
2.30,0.9495
2.40,0.8257
2.50,0.6822
2.60,0.5946
2.70,0.5661
2.80,0.1277
2.90,0.1266
3.00,0.3386
3.10,0.1299
3.20,0.1192
3.30,-0.3685
3.40,-0.4945
3.50,-0.3860
3.60,-0.4344
3.70,-0.7537
3.80,-0.7253
3.90,-0.5759
4.00,-0.9771
4.10,-0.6429
4.20,-0.7097
4.30,-0.8386
4.40,-0.8882
4.50,-0.8070
4.60,-0.7612
4.70,-1.1445
4.80,-1.2176
4.90,-1.0948
5.00,-0.7932
5.10,-0.7265
5.20,-1.0234
5.30,-0.7506
5.40,-0.7223
5.50,-0.6711
5.60,-0.7257
5.70,-0.7265
5.80,-0.3739
5.90,-0.3555
6.00,-0.0551
6.10,-0.1808
6.20,-0.2685
6.30,0.2325
6.40,0.3121
6.50,0.3274
6.60,0.0901
6.70,0.5547
6.80,0.2445
6.90,0.4437
7.00,0.4783
7.10,0.5452
7.20,0.5841
7.30,0.9570
7.40,0.7184
7.50,1.1694
7.60,0.7317
7.70,1.2014
7.80,1.1361
7.90,0.9426
8.00,1.0282
8.10,1.1999
8.20,1.1718
8.30,0.7697
8.40,0.6418
8.50,0.7996
8.60,0.5208
8.70,0.4973
8.80,0.6665
8.90,0.7504
9.00,0.5337
9.10,0.1450
9.20,0.1622
9.30,-0.0231
9.40,-0.1618
9.50,-0.2352
9.60,-0.2046
9.70,-0.2999
9.80,-0.5516
9.90,-0.6981
10.00,-0.7422
10.10,-0.7651
10.20,-0.6920
10.30,-0.5284
10.40,-0.9277
10.50,-0.9289
10.60,-1.0966
10.70,-0.9107
10.80,-0.8677
10.90,-1.1638
11.00,-0.9117
11.10,-0.8832
11.20,-1.1107
11.30,-0.9821
11.40,-0.8163
11.50,-0.9983
11.60,-0.9895
11.70,-0.7939
11.80,-0.4610
11.90,-0.7423
12.00,-0.7138
12.10,-0.4211
12.20,-0.3915
12.30,-0.0795
12.40,-0.3950
12.50,-0.0931
12.60,0.2595
12.70,0.0877
12.80,0.1087
12.90,0.1706
13.00,0.6456
13.10,0.2651
13.20,0.3967
13.30,0.8293
13.40,0.5918
13.50,0.8731
13.60,0.6609
13.70,0.8086
13.80,0.8540
13.90,1.1245
14.00,0.9973
14.10,1.0546
14.20,1.1354
14.30,0.8320
14.40,1.2032
14.50,0.9684
14.60,0.9896
14.70,0.7143
14.80,1.0329
14.90,0.7717
15.00,0.6522
15.10,0.7647
15.20,0.3711
15.30,0.5524
15.40,0.4733
15.50,0.2421
15.60,0.0714
15.70,0.0928
15.80,-0.2746
15.90,-0.2765
16.00,-0.3622
16.10,-0.5931
16.20,-0.6988
16.30,-0.5473
16.40,-0.8465
16.50,-0.9149
16.60,-1.0043
16.70,-0.8148
16.80,-0.9794
16.90,-0.9515
17.00,-1.1184
17.10,-0.9780
17.20,-0.7617
17.30,-1.1937
17.40,-1.2124
17.50,-0.9806
17.60,-1.1540
17.70,-0.7801
17.80,-0.6411
17.90,-0.6042
18.00,-0.6992
18.10,-0.6939
18.20,-0.5415
18.30,-0.7708
18.40,-0.3675
18.50,-0.2504
18.60,-0.0378
18.70,-0.0240
18.80,0.0559
18.90,0.0710
19.00,0.3407
19.10,0.1561
19.20,0.3109
19.30,0.3465
19.40,0.7430
19.50,0.4689
19.60,0.8008
19.70,0.7531
19.80,0.7307
19.90,0.8005
20.00,0.9459
