Index,Value
0,68.41
1,75.45
2,53.13
3,59.01
4,32.20
5,61.98
6,58.60
7,48.95
8,42.19
9,53.63
10,19.97
11,52.79
12,40.17
13,33.92
14,46.82
15,75.85
16,71.39
17,53.40
18,58.95
19,76.50
20,49.10
21,54.97
22,45.95
23,56.35
24,46.78
25,53.92
26,45.80
27,57.52
28,35.39
29,67.85
30,56.64
31,29.77
32,59.15
33,35.63
34,47.06
35,47.37
36,50.70
37,61.98
38,49.87
39,50.63
40,53.60
41,66.98
42,62.01
43,56.15
44,65.98
45,50.50
46,42.50
47,32.49
48,46.95
49,37.55
50,38.70
51,47.72
52,65.70
53,75.38
54,39.49
55,38.11
56,53.92
57,56.87
58,42.28
59,37.02
60,58.63
61,57.83
62,45.87
63,43.98
64,49.21
65,38.17
66,55.25
67,45.42
68,61.85
69,58.24
70,80.38
71,39.16
72,49.52
73,53.81
74,50.57
75,45.04
76,50.64
77,49.55
78,45.36
79,40.79
80,48.97
81,46.00
82,60.50
83,46.46
84,44.75
85,41.62
86,45.49
87,47.16
88,44.74
89,63.78
90,59.38
91,47.00
92,65.38
93,66.62
94,55.08
95,55.22
96,43.95
97,35.20
98,48.14
99,44.55
